corruption,error_pct
gaussian_noise,31.446
shot_noise,29.1
impulse_noise,28.724
defocus_blur,24.66
glass_blur,40.64
motion_blur,28.66
zoom_blur,27.776
snow,29.758
frost,27.978
fog,27.844
brightness,23.77
contrast,24.344
elastic_transform,31.42
pixelate,37.284
jpeg_compression,36.196
mCE,29.973
