corruption,error_pct
gaussian_noise,14.116
shot_noise,12.416
impulse_noise,14.728
defocus_blur,10.712
glass_blur,20.672
motion_blur,13.816
zoom_blur,12.154
snow,14.46
frost,12.138
fog,11.744
brightness,9.116
contrast,11.206
elastic_transform,14.074
pixelate,18.178
jpeg_compression,14.188
mCE,13.581
