corruption,error_pct
gaussian_noise,10.108
shot_noise,8.26
impulse_noise,8.368
defocus_blur,5.464
glass_blur,16.264
motion_blur,8.296
zoom_blur,6.762
snow,8.13
frost,7.102
fog,6.364
brightness,4.672
contrast,5.078
elastic_transform,10.002
pixelate,17.624
jpeg_compression,10.756
mCE,8.883
