corruption,error_pct
gaussian_noise,27.998
shot_noise,25.432
impulse_noise,24.328
defocus_blur,21.38
glass_blur,37.692
motion_blur,25.77
zoom_blur,24.086
snow,25.882
frost,24.518
fog,23.362
brightness,19.88
contrast,20.95
elastic_transform,28.24
pixelate,36.202
jpeg_compression,33.2
mCE,26.595
