corruption,error_pct
gaussian_noise,30.486
shot_noise,27.656
impulse_noise,26.238
defocus_blur,23.74
glass_blur,38.48
motion_blur,28.33
zoom_blur,25.818
snow,28.426
frost,27.33
fog,26.034
brightness,22.09
contrast,23.656
elastic_transform,29.088
pixelate,37.272
jpeg_compression,34.784
mCE,28.629
